NAME,TID,TARGET_TYPE,PREF_NAME_target,TAX_ID,ORGANISM,CHEMBL_ID_target,SPECIAS_GROUP_FLAG,SPECIES_GROUP_FLAG,MEC_ID,RECORD_ID,MOLREGNO,MECHANISM_OF_ACTION,SITE_ID,ACTION_TYPE,DIRECT_INTERACTION,MOLECULAR_MECHANISM,DISEASE_EFFICACY,MECHANISM_COMMENT,SELECTIVITY_COMMENT,BINDING_SITE_COMMENT,VARIANT_ID,PREF_NAME_drug,CHEMBL_ID_drug,MAX_PHASE,THERAPEUTIC_FLAG,DOSED_INGREDIENT,STRUCTURE_TYPE,CHEBI_PAR_ID,MOLECULE_TYPE,FIRST_APPROVAL,ORAL,PARENTERAL,TOPICAL,BLACK_BOX_WARNING,NATURAL_PRODUCT,FIRST_IN_CLASS,CHIRALITY,PRODRUG,INORGANIC_FLAG,USAN_YEAR,AVAILABILITY_TYPE,USAN_STEM,POLYMER_FLAG,USAN_SUBSTEM,USAN_STEM_DEFINITION,INDICATION_CLASS,WITHDRAWN_FLAG,CHEMICAL_PROBE,ORPHAN,STANDARD_INCHI,STANDARD_INCHI_KEY,SMILES,QED,Lipinski Rules Followed,MolWt,logP,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Stereo Centers,tPSA,Aqueous Solubility Score,Bioavailability,Caco-2 Permeability,HIA,Hydration Free Energy,PAMPA Permeability,P-glycoprotein Inhibition,BBB,PPBR,Volume of Distribution at Steady State,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Inhibition,CYP2D6 Inhibition,CYP3A4 Inhibition,Half Life,Hepatocyte Clearance,Microsome Clearance,Acute Toxicity,AMES,Carcinogens,Clinical Toxicity,DILI,hERG,Androgen Receptor Binding (Full Length),Androgen Receptor Binding (Ligand Binding Domain),Estrogen Receptor Binding (Full Length),Estrogen Receptor Binding (Ligand Binding Domain),Aryl Hydrocarbon Receptor Binding,Aromatase Binding,PPAR-Gamma Binding,ATAD5 Binding,Heat Shock Factor Binding,Mitochondrial Membrane Potential,TP53 Binding,Skin Reaction,PAINS
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,5705.0,1705122.0,317540.0,Gamma-secretase modulator,,MODULATOR,1.0,1.0,1.0,,,,,TARENFLURBIL,CHEMBL190083,3.0,0.0,0.0,MOL,38666.0,Small molecule,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2005.0,,,0.0,,,,0.0,0.0,0.0,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)/t10-/m1/s1",SYTBZMRGLBWNTM-SNVBAGLBSA-N,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.8937504426107861,4.0,244.265,3.6808000000000023,1,1,1,37.3,-3.847657521287482,0.9866367936134338,-4.228324050485776,0.9996099710464478,-7.847181345773916,0.6989413142204285,0.010129122715443372,0.7189110398292542,98.6026505467158,-0.11571901163546983,0.11663759499788284,0.11818069517612458,0.19415098577737808,0.0027701074490323664,0.005209306860342622,-8.052190549470689,13.741870732253199,19.603980854100474,2.9647751454794085,0.04722917638719082,0.614677369594574,0.04065560139715672,0.9641344428062439,0.018772313185036183,0.055930642411112785,0.003952287824358791,0.2708830952644348,0.03543384037911892,0.056834762915968895,0.02178905960172415,0.3840158641338348,0.07072436846792698,0.002893247362226248,0.015595658961683512,0.009722225554287433,0.18976258635520935,False
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,5712.0,1705227.0,447948.0,Gamma-secretase inhibitor,,INHIBITOR,1.0,1.0,1.0,Decreases dose-dependently Aß production in the human central nervous system,,,,SEMAGACESTAT,CHEMBL520733,3.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2007.0,,-stat,0.0,-stat (-gacestat),enzyme inhibitors: gamma secretase inhibitors,,0.0,0.0,0.0,"InChI=1S/C19H27N3O4/c1-11(2)16(23)18(25)20-12(3)17(24)21-15-14-8-6-5-7-13(14)9-10-22(4)19(15)26/h5-8,11-12,15-16,23H,9-10H2,1-4H3,(H,20,25)(H,21,24)/t12-,15-,16-/m0/s1",PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,0.7060433188817483,4.0,361.4420000000001,0.3800000000000008,4,3,3,98.74,-1.8346051696650065,0.7759839653968811,-5.467553553710086,0.9380156040191651,-14.683125182934427,0.5381125807762146,0.08466625958681107,0.20106601268053054,34.304533546735605,3.3720831981980033,0.0011485380004160107,0.010312408581376076,0.001751501887338236,0.008089203154668212,0.05343738235533237,14.07865655034237,16.53854034811391,27.692921003485775,3.0317109533216224,0.17888023853302001,0.17562867403030397,0.11455190032720566,0.2125379592180252,0.10900972187519073,0.133829203248024,0.017715460248291494,0.06555222794413566,0.007910447660833597,0.01626410856842995,0.0047991250641644,0.0014539791736751795,0.0012518003466539084,0.002457364823203534,0.0025334228994324803,0.0039567734813317655,0.14665687531232835,False
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,5723.0,1705246.0,619010.0,Gamma-secretase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,AVAGACESTAT,CHEMBL1090771,2.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010.0,,-stat,0.0,-stat (-gacestat),enzyme inhibitors: gamma secretase inhibitors,,0.0,0.0,0.0,"InChI=1S/C20H17ClF4N4O4S/c21-14-3-5-15(6-4-14)34(31,32)29(17(18(26)30)7-8-20(23,24)25)10-13-2-1-12(9-16(13)22)19-27-11-33-28-19/h1-6,9,11,17H,7-8,10H2,(H2,26,30)/t17-/m1/s1",XEAOPVUAMONVLA-QGZVFWFLSA-N,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,0.42709116497100486,3.0,520.8920000000002,3.916400000000003,6,1,1,119.39000000000001,-6.05192290402222,0.887372624874115,-4.995800395587987,0.9998879194259643,-7.7005015535156405,0.9442734479904175,0.6207166910171509,0.8622470378875733,98.8049073876364,1.273954180234873,0.5081593513488769,0.8586588501930237,0.8757872819900513,0.13756039664149283,0.9563115358352661,26.46114871482198,37.27102904760223,70.09151750749535,3.1515090432110773,0.2058702066540718,0.34412660598754885,0.29019480645656587,0.904629933834076,0.8037203073501586,0.03619575835764408,0.03950149789452553,0.08719153925776482,0.051148634403944016,0.06706486344337463,0.2634043037891388,0.20433336794376372,0.014246829599142075,0.047185177356004714,0.4672056376934052,0.10887965261936187,0.1261545144021511,False
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,5728.0,1705782.0,515421.0,Gamma-secretase inhibitor,,INHIBITOR,1.0,1.0,1.0,Thiophene sulfonamide gamma-secretase inhibitor (GSI) that selectively inhibits cleavage of APP over Notch.,,,,BEGACESTAT,CHEMBL463981,2.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2005.0,,-stat,0.0,-stat (-gacestat),enzyme inhibitors: gamma secretase inhibitors,,0.0,0.0,0.0,"InChI=1S/C9H8ClF6NO3S2/c10-5-1-2-6(21-5)22(19,20)17-4(3-18)7(8(11,12)13)9(14,15)16/h1-2,4,7,17-18H,3H2/t4-/m1/s1",PSXOKXJMVRSARX-SCSAIBSYSA-N,O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1,0.7585200794847413,4.0,391.74199999999996,2.7815000000000003,4,2,1,66.4,-3.8058795151945843,0.6374918997287751,-5.172898090747468,0.9998496532440185,-7.202467022742806,0.9158018112182618,0.31389794647693636,0.8030217051506042,91.08244377251694,14.816457857795848,0.510208809375763,0.937430226802826,0.8071080088615418,0.39082651734352114,0.48658297061920164,-3.7631220527939595,44.87739637178129,11.460210849678012,2.947623609891501,0.01600558515638113,0.4519903749227524,0.015412587951868773,0.7506802022457123,0.477441743016243,0.022032232768833638,0.021302288956940175,0.11882955729961395,0.05077068507671356,0.02813242729753256,0.24246200621128083,0.062356763146817686,0.009795218706130981,0.09450091812759638,0.7870381891727447,0.18730624280869962,0.2791651666164398,False
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,7917.0,3132990.0,2335393.0,Gamma-secretase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,RG-4733,CHEMBL4297422,2.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,"InChI=1S/C22H20F5N3O3/c1-20(2,18(32)28-11-21(23,24)22(25,26)27)19(33)30-16-14-9-4-3-7-12(14)13-8-5-6-10-15(13)29-17(16)31/h3-10,16H,11H2,1-2H3,(H,28,32)(H,29,31)(H,30,33)/t16-/m0/s1",OJPLJFIFUQPSJR-INIZCTEOSA-N,CC(C)(C(=O)NCC(F)(F)C(F)(F)F)C(=O)N[C@@H]1C(=O)Nc2ccccc2-c2ccccc21,0.45999835517130294,4.0,469.4100000000001,3.8030000000000017,3,3,1,87.30000000000001,-6.431632695581774,0.7945327877998352,-5.052130467502641,0.9928735613822937,-6.058972706582912,0.8000156283378601,0.5654791176319123,0.8069574952125549,96.78670175218824,4.417862329590191,0.12414911687374115,0.6132099390029907,0.4219784736633301,0.07892409712076187,0.6848107814788819,64.66675300743324,20.882955797332126,51.739750845240295,3.6403096401754027,0.14361560344696045,0.7944453597068787,0.19381343424320222,0.8375121355056763,0.9102665662765503,0.026076423563063146,0.008486488577909767,0.06638561561703682,0.018507457710802554,0.09483303055167198,0.11644732058048249,0.04739477261900902,0.014640896208584308,0.037658448703587054,0.6311155021190643,0.19196954369544983,0.27855909168720244,False
PSEN1,104717,PROTEIN COMPLEX,Gamma-secretase,9606,Homo sapiens,CHEMBL2094135,,0.0,9221.0,2583402.0,1143222.0,Gamma-secretase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,NIROGACESTAT,CHEMBL1770916,3.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015.0,,-stat,0.0,-stat (-gacestat),enzyme inhibitors: gamma secretase inhibitors,,0.0,0.0,0.0,"InChI=1S/C27H41F2N5O/c1-7-8-23(32-20-10-9-18-11-19(28)12-22(29)21(18)13-20)25(35)33-24-14-34(17-31-24)27(5,6)16-30-15-26(2,3)4/h11-12,14,17,20,23,30,32H,7-10,13,15-16H2,1-6H3,(H,33,35)/t20-,23-/m0/s1",VFCRKLWBYMDAED-REWPJTCUSA-N,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,0.44898767005799106,4.0,489.65500000000026,4.786400000000004,5,3,2,70.98,-3.4123876125642854,0.8287977457046509,-5.4146721170560355,0.9997262477874755,-8.32451466237064,0.925905966758728,0.9447451233863831,0.9202485799789428,79.16139379854886,17.847635533321238,0.045345238782465457,0.5838950634002685,0.45388506054878236,0.8866322278976441,0.9652608156204223,112.74969805523922,14.831553129598205,62.549548042087906,3.4898520288234787,0.38755338191986083,0.3348492681980133,0.5641325682401657,0.26063492298126223,0.9697686553001403,0.007317891158163547,0.006445773225277662,0.029236841294914485,0.01333495331928134,0.1708104893565178,0.2673451483249664,0.0033233303343877195,0.01452854685485363,0.06443811506032944,0.450584352016449,0.023444892652332783,0.32420684546232226,False
CDK5,109746,PROTEIN FAMILY,Cyclin-dependent kinase,9606,Homo sapiens,CHEMBL3559691,,0.0,4138.0,2473486.0,452952.0,Cyclin-dependent kinase inhibitor,,INHIBITOR,1.0,1.0,1.0,"Potent oral inhibitor of cyclin-dependent kinases 1, 2, and 9  (CDK1 CDK2 and CDK9)",,,,AZD-5438,CHEMBL488436,1.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,"InChI=1S/C18H21N5O2S/c1-12(2)23-13(3)20-11-17(23)16-9-10-19-18(22-16)21-14-5-7-15(8-6-14)26(4,24)25/h5-12H,1-4H3,(H,19,21,22)",WJRRGYBTGDJBFX-UHFFFAOYSA-N,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,0.7394031145969058,4.0,371.4660000000001,3.376520000000002,7,1,0,89.77000000000001,-3.8259353015427267,0.936194920539856,-4.992731886775413,0.9961562871932983,-9.80161442206132,0.9262018799781799,0.29999861121177673,0.7993293523788452,88.81646780176018,0.28624088389408764,0.3716246038675308,0.16335145086050035,0.039602108858525754,0.25058273375034334,0.6738168120384216,35.7900646545218,19.395764556988222,30.07667957920895,2.1674861076676684,0.21668092161417007,0.42350847125053404,0.2850823372602463,0.9042480707168579,0.6144204139709473,0.039671565964818,0.019188570231199263,0.06312475018203259,0.017045263573527335,0.14076616764068603,0.10702681541442871,0.003731121716555208,0.019303478440269826,0.019608671125024558,0.0891251727938652,0.032950650248676536,0.09963859468698502,False
CDK5,109746,PROTEIN FAMILY,Cyclin-dependent kinase,9606,Homo sapiens,CHEMBL3559691,,0.0,4319.0,2473435.0,692957.0,Cyclin-dependent kinase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,PHA-793887,CHEMBL1230607,1.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,"InChI=1S/C19H31N5O2/c1-12(2)10-15(25)20-17-14-11-24(19(3,4)16(14)21-22-17)18(26)13-6-8-23(5)9-7-13/h12-13H,6-11H2,1-5H3,(H2,20,21,22,25)",HUXYBQXJVXOMKX-UHFFFAOYSA-N,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,0.8622393374431375,4.0,361.4900000000002,2.3134000000000006,4,2,0,81.33,-2.601225777381436,0.5291106343269348,-4.955549470893788,0.984660017490387,-11.265600925529409,0.6554547429084778,0.047112089581787586,0.9438090920448303,45.96301985970092,2.0267241742268807,0.0003835372495814227,0.016601781966164707,0.008257343829609454,0.02835235372185707,0.011614769231528044,-7.918046031307182,-6.670783911283843,0.6751887364530426,3.10520403738515,0.023605453968048095,0.06021154504269362,0.19332341104745865,0.10371274501085281,0.5196710526943207,0.020971085131168365,0.004353459738194942,0.05113642290234566,0.004175232257694006,0.011349881207570434,0.0042897028848528865,0.00016972567682387306,0.0009660326759330928,0.002552551496773958,0.0029584496514871716,0.004845833359286189,0.22078779935836793,False
CDK5,109746,PROTEIN FAMILY,Cyclin-dependent kinase,9606,Homo sapiens,CHEMBL3559691,,0.0,4632.0,2473459.0,511261.0,Cyclin-dependent kinase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,AT-7519,CHEMBL445813,2.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,"InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)",OVPNQJVDAFNBDN-UHFFFAOYSA-N,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,0.6529263890140131,4.0,382.2510000000001,2.4505999999999997,4,4,0,98.91,-3.8170945866532238,0.8440669417381287,-5.608866550571716,0.9925374627113343,-14.488615717420373,0.47695760130882264,0.10322268269956111,0.8194682359695434,75.34445842084502,12.857758381935138,0.10006370153278113,0.26872417479753496,0.15624603852629662,0.06417344808578491,0.07866467535495758,53.85274138158089,7.005184443513171,-42.42520215572929,1.7167032460462621,0.3710760921239853,0.35279099345207215,0.459891802072525,0.8100114464759827,0.48259211182594297,0.012112716119736433,0.0153366569429636,0.118842214345932,0.014511233195662498,0.1688200607895851,0.07127958163619041,0.005786790640559048,0.07611600309610367,0.033065597712993625,0.14769472181797028,0.11901986375451087,0.5918694496154785,False
CDK5,109746,PROTEIN FAMILY,Cyclin-dependent kinase,9606,Homo sapiens,CHEMBL3559691,,0.0,4654.0,2472730.0,2349629.0,Cyclin-dependent kinase inhibitor,,INHIBITOR,1.0,1.0,1.0,,,,,RONICICLIB,CHEMBL4442620,2.0,0.0,0.0,MOL,,Small molecule,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,-ciclib,0.0,-ciclib,cyclin dependent kinase inhibitors (formerly-cidib),,0.0,0.0,0.0,"InChI=1S/C18H21F3N4O3S/c1-10(26)11(2)28-16-15(18(19,20)21)9-23-17(25-16)24-12-3-5-13(6-4-12)29(22,27)14-7-8-14/h3-6,9-11,14,22,26H,7-8H2,1-2H3,(H,23,24,25)/t10-,11-,29?/m1/s1",UELYDGOOJPRWGF-MFOHZAOFSA-N,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1C(F)(F)F,0.6137860935627716,4.0,430.45200000000017,3.9551700000000025,7,3,3,108.19000000000001,-4.021949557613591,0.9165665030479431,-4.969857569916141,0.9982077598571777,-10.064594778572213,0.7996548414230347,0.1441633753478527,0.6907728910446167,89.45326381993706,2.9103921752755264,0.21973453760147094,0.145887902751565,0.12798441126942633,0.11218543723225594,0.22756081074476242,42.877193185043836,5.5412807685508145,21.20568243632006,2.8925788589297525,0.17460684552788736,0.4254230082035065,0.3913533926010132,0.8851259112358093,0.5847482919692993,0.07088267132639885,0.051074922829866407,0.09506217688322068,0.013232020288705825,0.0977532785385847,0.20324382781982422,0.026853849366307258,0.056244440749287604,0.027598718646913767,0.6415924727916718,0.28640965819358827,0.04493914907798171,False
