NAME,TID,TARGET_TYPE,PREF_NAME_target,TAX_ID,ORGANISM,CHEMBL_ID_target,SPECIAS_GROUP_FLAG,SPECIES_GROUP_FLAG,MEC_ID,RECORD_ID,MOLREGNO,MECHANISM_OF_ACTION,SITE_ID,ACTION_TYPE,DIRECT_INTERACTION,MOLECULAR_MECHANISM,DISEASE_EFFICACY,MECHANISM_COMMENT,SELECTIVITY_COMMENT,BINDING_SITE_COMMENT,VARIANT_ID,PREF_NAME_drug,CHEMBL_ID_drug,MAX_PHASE,THERAPEUTIC_FLAG,DOSED_INGREDIENT,STRUCTURE_TYPE,CHEBI_PAR_ID,MOLECULE_TYPE,FIRST_APPROVAL,ORAL,PARENTERAL,TOPICAL,BLACK_BOX_WARNING,NATURAL_PRODUCT,FIRST_IN_CLASS,CHIRALITY,PRODRUG,INORGANIC_FLAG,USAN_YEAR,AVAILABILITY_TYPE,USAN_STEM,POLYMER_FLAG,USAN_SUBSTEM,USAN_STEM_DEFINITION,INDICATION_CLASS,WITHDRAWN_FLAG,CHEMICAL_PROBE,ORPHAN,STANDARD_INCHI,STANDARD_INCHI_KEY,SMILES,QED,Lipinski Rules Followed,MolWt,logP,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Stereo Centers,tPSA,Aqueous Solubility Score,Bioavailability,Caco-2 Permeability,HIA,Hydration Free Energy,PAMPA Permeability,P-glycoprotein Inhibition,BBB,PPBR,Volume of Distribution at Steady State,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Inhibition,CYP2D6 Inhibition,CYP3A4 Inhibition,Half Life,Hepatocyte Clearance,Microsome Clearance,Acute Toxicity,AMES,Carcinogens,Clinical Toxicity,DILI,hERG,Androgen Receptor Binding (Full Length),Androgen Receptor Binding (Ligand Binding Domain),Estrogen Receptor Binding (Full Length),Estrogen Receptor Binding (Ligand Binding Domain),Aryl Hydrocarbon Receptor Binding,Aromatase Binding,PPAR-Gamma Binding,ATAD5 Binding,Heat Shock Factor Binding,Mitochondrial Membrane Potential,TP53 Binding,Skin Reaction,PAINS,Vina Score,SAScore
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,1120,1344102,36662,Adrenergic receptor beta antagonist,,ANTAGONIST,1,1,1,,,,,CARVEDILOL,CHEMBL723,4,1,1,MOL,3441,Small molecule,1995,1,0,0,0,1,0,0,0,0,1988,1,-dil-,0,-dil-,vasodilators (undefined group),Antihypertensive; Anti-Anginal,0,0,0,"InChI=1S/C24H26N2O4/c1-28-21-10-4-5-11-22(21)29-14-13-25-15-17(27)16-30-23-12-6-9-20-24(23)18-7-2-3-8-19(18)26-20/h2-12,17,25-27H,13-16H2,1H3",OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.349960763,4,406.482,3.738,5,3,1,75.74,-4.354614312,0.765068769,-5.511207836,0.999374151,-13.00268409,0.865829647,0.966820455,0.563946933,96.23125609,6.987928987,0.932436121,0.927422023,0.664897394,0.831061304,0.925072789,29.66526048,28.16090474,31.34179608,2.711797373,0.220750122,0.190028907,0.35096947,0.748869407,0.984985578,0.015808322,0.011783355,0.044407248,0.012473622,0.834722769,0.314392564,0.051241715,0.02368323,0.165844434,0.538845485,0.100642728,0.276790881,FALSE,-7.02,2.644762943
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,1121,1344235,675118,Adrenergic receptor beta antagonist,,ANTAGONIST,1,1,1,,,,,CARVEDILOL PHOSPHATE,CHEMBL1201167,4,1,1,MOL,,Small molecule,2006,1,0,0,0,0,0,0,0,0,2004,1,-dil-,0,-dil-,vasodilators (undefined group),,0,0,0,"InChI=1S/C24H26N2O4.H3O4P/c1-28-21-10-4-5-11-22(21)29-14-13-25-15-17(27)16-30-23-12-6-9-20-24(23)18-7-2-3-8-19(18)26-20;1-5(2,3)4/h2-12,17,25-27H,13-16H2,1H3;(H3,1,2,3,4)",XCPXNPBILMXKNX-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O,0.141345467,2,504.476,2.8094,6,6,1,153.5,-1.88991782,0.596185803,-6.161200625,0.64853192,-13.79475494,0.342112373,0.662225759,0.364881694,92.87489645,-1.593494648,0.613116637,0.467843664,0.256777667,0.735016739,0.289324488,53.1005453,2.22882913,21.8218877,1.690871205,0.031390334,0.149289194,0.675434685,0.617076463,0.931346977,0.037378679,0.029880245,0.079985249,0.04537797,0.243624769,0.054402729,0.012905329,0.014401851,0.021264364,0.144520326,0.056660011,0.149340725,FALSE,-7.082,2.907514308
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,1123,1343103,2197392,Adrenergic receptor beta agonist,,AGONIST,1,1,1,,,,,ISOPROTERENOL SULFATE,CHEMBL3989521,4,1,1,MOL,,Small molecule,1956,0,0,1,0,0,0,0,0,0,,0,,0,,,,0,0,0,"InChI=1S/2C11H17NO3.H2O4S.2H2O/c2*1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8;1-5(2,3)4;;/h2*3-5,7,11-15H,6H2,1-2H3;(H2,1,2,3,4);2*1H2",CUQPTVCVZLUXJB-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(O)c(O)c1.CC(C)NCC(O)c1ccc(O)c(O)c1.O.O.O=S(=O)(O)O,0.151268396,2,556.631,-0.0438,10,10,2,283.04,0.386342995,0.196533264,-7.368416134,0.155601102,-12.5267587,0.085110123,0.065848777,0.057225636,52.12301968,-7.356341546,0.081314118,0.079421974,0.020958994,0.368078288,0.026009311,73.11431154,-22.82632467,-7.128247838,1.607235277,0.103553391,0.281520322,0.313655577,0.08397969,0.651471794,0.043356664,0.015010261,0.131468991,0.047419817,0.018465828,0.005534681,0.001000436,0.002066177,0.007266902,0.064900993,0.007555265,0.242643207,FALSE,-6.204,3.5277935
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,1124,1343602,674953,Adrenergic receptor beta antagonist,,ANTAGONIST,1,1,1,,,,,CARTEOLOL HYDROCHLORIDE,CHEMBL1201002,4,1,1,MOL,3438,Small molecule,1988,1,0,1,0,0,0,0,0,0,1976,1,#NAME?,0,#NAME?,beta-blockers (propranolol type),Anti-Adrenergic (beta-receptor),0,0,0,"InChI=1S/C16H24N2O3.ClH/c1-16(2,3)17-9-11(19)10-21-14-6-4-5-13-12(14)7-8-15(20)18-13;/h4-6,11,17,19H,7-10H2,1-3H3,(H,18,20);1H",FYBXRCFPOTXTJF-UHFFFAOYSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,0.7740482,4,328.84,2.1209,4,3,1,70.59,-1.487937698,0.92346518,-5.179044068,0.991808462,-12.42333302,0.612843537,0.071799832,0.801819706,57.95651871,11.75379115,0.03947704,0.043445492,0.004025324,0.63674019,0.008082669,50.5823807,-16.88562188,-13.00006942,2.524299595,0.392909831,0.342195702,0.323267508,0.061238196,0.554943258,0.027848492,0.006616901,0.090998221,0.004639107,0.051801874,0.002283144,0.000524295,0.001178722,0.004202287,0.005848853,0.004754008,0.270792159,FALSE,-6.342,2.976166976
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,1125,1344094,550053,Adrenergic receptor beta agonist,,AGONIST,1,1,1,,,,,ISOPROTERENOL HYDROCHLORIDE,CHEMBL1711,4,1,1,MOL,,Small molecule,1956,0,1,1,0,0,0,0,0,0,,1,,0,,,Bronchodilator,0,0,0,"InChI=1S/C11H17NO3.ClH/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8;/h3-5,7,11-15H,6H2,1-2H3;1H",IROWCYIEJAOFOW-UHFFFAOYSA-N,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,0.609512383,4,247.722,1.551,4,4,1,72.72,-0.626142115,0.672483766,-5.96726004,0.98845017,-11.72494669,0.11895487,0.025677605,0.11987919,30.56243187,7.391041267,0.060331794,0.026234503,0.005998479,0.218975364,0.003853409,10.38468724,-3.00634591,-42.05317142,2.583736317,0.400324124,0.467528328,0.088443948,0.014141509,0.184016649,0.019066293,0.008832691,0.062019306,0.01676666,0.034117065,0.002094156,0.000823529,0.000938988,0.005469353,0.008685316,0.002584816,0.684419239,FALSE,-6.183,2.731017775
ADRB1,104700,PROTEIN FAMILY,Adrenergic receptor beta,9606,Homo sapiens,CHEMBL2094118,,0,6237,1703561,678116,Adrenergic receptor beta antagonist,,ANTAGONIST,1,1,1,"Dilevalol is a nonselective, Beta-adrenergic receptor antagonist with, Beta 2-adrenergic receptor agonist activity. It has three to six times the activity of labetalol at the Beta-receptor, but unlike labetalol, little activity at the Alpha 1-receptor. In animal studies, it causes vasodilation even in denervated limbs, which is blocked by propranolol, suggesting that these vasodilator effects are due to Beta 2-adrenergic receptor agonism. It lowers blood pressure, both in normal and hypertensive subjects. Because the fall in blood pressure correlates with a fall in peripheral vascular resistance rather than a decrease in cardiac index, it is thought to be due to the Beta 2-adrenergic receptor agonist induced vasodilation, rather than to non-specific, Beta-adrenergic receptor antagonist effects.",,,,DILEVALOL HYDROCHLORIDE,CHEMBL1204165,4,0,1,MOL,,Small molecule,1990,0,0,0,0,0,0,1,0,0,1984,-2,#NAME?,0,#NAME?,combined alpha and beta blockers,Anti-Adrenergic (beta-receptor); Antihypertensive,1,0,0,"InChI=1S/C19H24N2O3.ClH/c1-13(7-8-14-5-3-2-4-6-14)21-12-18(23)15-9-10-17(22)16(11-15)19(20)24;/h2-6,9-11,13,18,21-23H,7-8,12H2,1H3,(H2,20,24);1H/t13-,18+;/m1./s1",WQVZLXWQESQGIF-WJKBNZMCSA-N,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1.Cl,0.578521006,4,364.873,2.5572,4,4,2,95.58,-2.543097917,0.884696114,-5.614738964,0.989773047,-12.06279292,0.325820917,0.290241888,0.265435648,70.6870743,1.193878581,0.313836589,0.102783203,0.030485438,0.84138943,0.087618716,12.32576788,19.42110202,-0.326703179,2.51492258,0.452402821,0.448839533,0.309729978,0.043982794,0.670852423,0.028991057,0.020552315,0.090815634,0.020775475,0.022559829,0.008128894,0.004655028,0.00230501,0.020685711,0.037373042,0.007860492,0.334284744,FALSE,-7.333,2.906091299
ADRB1,50,SINGLE PROTEIN,Beta-1 adrenergic receptor,9606,Homo sapiens,CHEMBL213,,0,309,1344114,1279,Beta-1 adrenergic receptor antagonist,,ANTAGONIST,1,1,1,,,,,ATENOLOL,CHEMBL24,4,1,1,MOL,2904,Small molecule,1981,1,1,0,1,1,0,0,0,0,1976,1,#NAME?,0,#NAME?,beta-blockers (propranolol type),Anti-Adrenergic (beta-receptor),0,0,0,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.637673978,4,266.341,0.4521,4,3,1,84.58,-1.190791326,0.923757029,-5.346544652,0.990452194,-14.95864844,0.475863677,0.005957703,0.446402186,16.47556138,-2.876206778,0.010767525,0.011743836,0.00128828,0.056497728,0.001637565,-11.97953158,-7.853441642,-27.92201879,1.938031948,0.059730349,0.238118489,0.077514355,0.011133666,0.10404698,0.058496013,0.009856034,0.098754663,0.004038164,0.002693798,0.000436321,0.000460965,0.00026555,0.00092357,0.000216916,0.000379299,0.208902626,FALSE,-6.169,2.435828642
ADRB1,50,SINGLE PROTEIN,Beta-1 adrenergic receptor,9606,Homo sapiens,CHEMBL213,,0,310,1344947,674788,Beta-1 adrenergic receptor antagonist,,ANTAGONIST,1,1,1,,,,,LEVOBETAXOLOL HYDROCHLORIDE,CHEMBL1200837,4,1,1,MOL,59256,Small molecule,2000,0,0,1,0,0,0,1,0,0,1989,0,#NAME?,0,#NAME?,beta-blockers (propranolol type),Anti-Adrenergic (beta-receptor),0,0,0,"InChI=1S/C18H29NO3.ClH/c1-14(2)19-11-17(20)13-22-18-7-5-15(6-8-18)9-10-21-12-16-3-4-16;/h5-8,14,16-17,19-20H,3-4,9-13H2,1-2H3;1H/t17-;/m0./s1",CHDPSNLJFOQTRK-LMOVPXPDSA-N,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.Cl,0.60656908,4,343.895,2.8152,4,2,1,50.72,-1.957816068,0.91666503,-4.712131755,0.999048209,-8.143634819,0.715450513,0.418618977,0.653772497,65.04180307,6.71304637,0.32981286,0.101296782,0.011175966,0.950647521,0.234491007,15.665351,39.76565953,16.8395536,2.506831192,0.409260327,0.288438809,0.3754866,0.015636507,0.839981711,0.00748504,0.004358423,0.07842341,0.013258709,0.06021921,0.014712233,0.002301811,0.002667012,0.03877977,0.045101229,0.004168327,0.518848088,FALSE,-6.232,2.681783503
ADRB1,50,SINGLE PROTEIN,Beta-1 adrenergic receptor,9606,Homo sapiens,CHEMBL213,,0,311,1343572,674764,Beta-1 adrenergic receptor antagonist,,ANTAGONIST,1,1,1,,,,,ACEBUTOLOL HYDROCHLORIDE,CHEMBL1200813,4,1,1,MOL,2380,Small molecule,1984,1,0,0,0,0,0,0,0,0,,1,#NAME?,0,#NAME?,beta-blockers (propranolol type),Anti-Adrenergic (beta-receptor),0,0,0,"InChI=1S/C18H28N2O4.ClH/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3;/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23);1H",KTUFKADDDORSSI-UHFFFAOYSA-N,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl,0.54953003,4,372.893,2.7873,5,3,1,87.66,-1.725407324,0.913722014,-5.354590687,0.994831955,-12.01767379,0.714418936,0.310160875,0.673953342,59.24330508,18.32885706,0.252209061,0.146511903,0.032068468,0.727470565,0.053504492,23.29042598,9.452723743,10.004999,2.277817122,0.403189415,0.495507634,0.216338065,0.173068196,0.385589889,0.038881055,0.046348211,0.092131186,0.00464469,0.141650876,0.006742698,0.003524185,0.006531246,0.010905448,0.032290836,0.020258717,0.188318357,FALSE,-6.372,2.667826335
ADRB1,50,SINGLE PROTEIN,Beta-1 adrenergic receptor,9606,Homo sapiens,CHEMBL213,,0,312,1344658,675066,Beta-1 adrenergic receptor antagonist,,ANTAGONIST,1,1,1,,,,,ESMOLOL HYDROCHLORIDE,CHEMBL1201115,4,1,1,MOL,4857,Small molecule,1986,0,1,0,0,0,0,0,0,0,1983,1,#NAME?,0,#NAME?,beta-blockers (propranolol type),Anti-Adrenergic (beta-receptor),1,0,0,"InChI=1S/C16H25NO4.ClH/c1-12(2)17-10-14(18)11-21-15-7-4-13(5-8-15)6-9-16(19)20-3;/h4-5,7-8,12,14,17-18H,6,9-11H2,1-3H3;1H",GEKNCWBANDDJJL-UHFFFAOYSA-N,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,0.67695991,4,331.84,1.9517,5,2,1,67.79,-1.500578791,0.903327143,-4.789885568,0.998453462,-10.32452516,0.821283484,0.197818005,0.423232743,55.13709426,-0.408154846,0.285239045,0.321837232,0.016492,0.822158706,0.081902243,9.649491488,34.67665031,20.06632933,2.679835505,0.181832801,0.307987398,0.227941704,0.037149895,0.607250363,0.015128438,0.008421724,0.082733086,0.009111229,0.012754124,0.003348244,0.004507708,0.001380356,0.009566818,0.002847766,0.001983698,0.498393798,FALSE,-6.164,2.505402439
